PaperTitle,ID,SearchString,SearchedFrom
Assessing User Perceptions of Bias in Generative AI Models: Promoting Social Awareness for Trustworthy AI.,DOI:10.1145/3633083.3633094,Generative$ AI$ trustworthy$ social$,DBLP
"The OpenESEA Modeling Language and Tool for Ethical, Social, and Environmental Accounting.",DOI:10.7250/CSIMQ.2023-34.01,language$ model$ environmental$ social$,DBLP
"ESGBERT: Language Model to Help with Classification Tasks Related to Companies Environmental, Social, and Governance Practices.",DOI:10.48550/ARXIV.2203.16788,language$ model$ environmental$ social$,DBLP
"The OpenESEA Modeling Language and Tool for Ethical, Social, and Environmental Accounting.",DOI:10.7250/CSIMQ.2023-34.01,language$ model$ environmental$ ethical$,DBLP
